RegionName,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77429,1347,TX,98575.5,94446.25,95428.83333333331,98620.41666666669,110457.08333333331,119005.08333333331,125818.83333333331,132673.16666666663,139914.91666666663,149240.0,154617.4,161420.5656
78245,5225,TX,95835.2,88321.25,91129.58333333331,89615.08333333331,93094.5,92995.83333333331,99369.58333333331,104872.33333333331,110558.83333333331,119647.83333333331,122532.4,127801.2932
77479,5728,TX,164612.7,160149.5,159606.33333333337,171425.83333333337,187001.75,202322.91666666663,213244.0833333333,220756.0,231436.41666666663,233434.83333333328,239002.7,247367.7945
10462,4106,NY,132112.8,120009.0,128675.33333333331,123427.75,121815.58333333331,121052.41666666669,121546.16666666669,130059.33333333331,147276.5,168107.5,185879.1,196474.2087
10456,4106,NY,165108.9,160397.33333333337,182374.41666666663,165760.33333333337,173852.41666666663,175331.5,191830.0,211334.66666666663,237405.83333333328,246804.41666666663,251310.3,263373.1944
60613,1036,IL,262443.0,238873.41666666663,222389.8333333333,230696.16666666663,252324.91666666663,255255.25,262896.75,276828.5,284516.75,284585.83333333326,284118.4,295199.0176
30044,3144,GA,106534.7,88488.25,78330.25,88117.33333333331,109599.25,121746.83333333331,132359.66666666663,142568.66666666663,157579.0,171535.08333333337,180534.2,189921.9784
10019,4106,NY,846628.3,903023.0,926893.0833333335,960382.25,1085846.5,1181610.583333333,1225793.833333333,1206163.083333333,1189165.333333333,1137317.583333333,1082196.0,1086524.784
63376,5197,MO,127804.5,116001.08333333331,106377.16666666669,106967.83333333331,110228.5,112082.75,116320.08333333331,124725.0,131753.75,138770.16666666663,146232.7,153398.1023
10003,4106,NY,841293.0,905802.3333333335,937237.25,964142.3333333335,1069511.666666667,1211074.583333333,1227061.25,1203496.416666667,1174987.5,1241694.5,1162271.1,1141350.2202
28277,985,NC,162834.4,148141.58333333337,142298.25,150686.16666666663,164462.41666666663,172607.5,181887.75,195804.75,210728.0833333333,221352.16666666663,229633.4,242033.6036
60625,1036,IL,219806.7,195460.66666666663,166328.0,171089.91666666663,193376.5833333333,208747.41666666663,220531.25,230401.16666666663,240745.25,243607.83333333328,246201.7,257773.1799
30043,3144,GA,147437.6,124346.75,111028.08333333331,126396.33333333331,147504.08333333337,158054.33333333337,169126.41666666663,183280.5833333333,201095.66666666663,215799.0833333333,225586.7,236640.4483
11230,4106,NY,242023.6,236774.83333333328,236077.33333333328,247247.41666666663,256595.66666666663,290391.83333333326,320482.41666666674,333158.58333333326,344609.16666666674,384150.16666666674,399415.7,401412.7785
