RegionName,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11214,10286,NY,759478.3,748492.5,734600.8333333335,784942.6666666665,863979.5,956396.75,1040460.4166666665,1138105.0,1220311.833333333,1258953.666666667,1289356.7,1330616.1144
28027,3087,NC,294167.9,280162.25,273758.33333333326,278068.83333333326,302866.08333333326,312479.91666666674,322889.66666666674,342987.75,354994.08333333326,364486.41666666674,377766.0,398543.13
11207,10286,NY,472117.2,458662.33333333326,432497.16666666674,471589.66666666674,527759.5,557521.9166666665,628048.9166666665,683195.6666666665,736070.0833333335,765338.1666666665,783143.4,826999.4304000002
94501,114,CA,467923.3,444099.58333333326,469601.16666666674,599413.0,727891.1666666665,842753.0,1029591.8333333335,1176051.333333333,1388096.166666667,1497394.833333333,1596019.6,1656668.3448
2169,11983,MA,463838.9,450060.33333333326,456183.08333333326,487942.16666666674,525500.3333333335,547724.8333333335,593731.0,622089.75,667248.3333333335,683193.25,713972.4,744673.2132
33411,12647,FL,325846.0,307267.91666666674,295314.25,331996.41666666674,385513.0,404683.33333333326,422504.91666666674,438219.66666666674,451703.5,453857.75,458739.6,480300.3611999999
11229,10286,NY,699762.1,703020.25,705722.8333333335,748496.6666666665,822840.5833333335,900010.25,975441.3333333335,1070223.666666667,1159321.166666667,1183200.25,1177165.7,1217189.3338
60619,2625,IL,,,,,116365.5,119611.0,137135.33333333337,154796.58333333337,161133.41666666663,170925.83333333337,179390.9,187104.7087
78745,667,TX,242950.5,240440.5,245651.5,266242.75,298496.91666666674,330965.66666666674,367707.5,389071.33333333326,409141.58333333326,436505.75,463987.7,492290.9497
94110,12921,CA,1327643.5,1284357.0,1305399.166666667,1512103.583333333,1784844.916666667,1945239.916666667,2126079.583333333,2276023.833333333,2362126.5,2479457.583333333,2541056.5,2632534.534
23462,15524,VA,311355.6,295686.25,291319.25,297367.5,303239.25,308175.25,314056.58333333326,319594.0,326277.5,332966.0,343581.8,361791.6354
33025,9521,FL,282892.5,259560.33333333328,264257.16666666674,287336.41666666674,322034.75,337135.75,351540.58333333326,379659.33333333326,401609.83333333326,408332.41666666674,420973.3,438233.2053
10458,10286,NY,413595.7,382334.75,364109.08333333326,366084.16666666674,380120.08333333326,388621.16666666674,439483.0,488729.25,545722.1666666665,604168.75,640168.6,667055.6812
75067,8106,TX,226836.4,221623.5,225490.58333333328,238931.66666666663,259827.58333333328,283021.5,308283.83333333326,327898.83333333326,343782.75,350084.33333333326,355338.5,372750.0865
