index,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Aitkin,MN,142221.0,139630.66666666663,137636.58333333337,142359.33333333337,148935.83333333337,151414.66666666663,157089.66666666663,160764.25,167608.83333333337,174818.25,180280.4,186950.7748
92,Ajo,AZ,,,,,,,,,49288.0,52855.5,55715.7,57331.4553
93,Akeley,MN,129276.0,123874.75,123308.91666666669,128940.41666666669,136711.83333333337,141092.58333333337,144650.91666666663,151130.25,158677.75,165277.25,170978.6,177133.8296
94,Akron,CO,,,,,,57686.4,56707.0,60881.16666666666,64225.33333333334,65092.25,75475.0,79097.8
95,Akron,IA,,,,,46983.0,48239.91666666666,48339.25,50154.16666666666,52404.75,54104.0,55840.4,58632.42000000001
96,Akron,IN,59916.5,59802.0,60633.5,61332.83333333334,62059.91666666666,63437.66666666666,64609.75,66161.41666666669,70009.41666666669,69594.66666666669,73851.5,77027.1145
97,Akron,OH,54088.240000000005,48810.5,46265.5,46627.350000000006,47716.76666666667,52803.85984848484,48341.643939393936,47235.525,48841.229166666664,50985.868055555555,52568.60833333334,55405.01969166667
98,Akron,PA,,,,,,117463.0,121347.16666666669,128626.0,133666.0,142223.58333333337,138766.6,145427.39680000002
99,Alabaster,AL,,,,,137263.5,138489.08333333337,146219.5,154744.58333333337,144608.5,146649.41666666663,164163.9,172536.2589
100,Alachua,FL,167336.0,137400.75,124678.08333333331,113022.08333333331,115675.83333333331,114832.5,124529.91666666669,134210.75,134214.66666666663,136737.41666666663,146466.9,153497.3112
101,Aladdin,WY,,,229183.7,249227.70833333337,251245.70833333328,260023.375,264436.62499999994,280579.25,299367.2916666666,306883.625,288118.75,302596.24880000006
102,Alameda,CA,299578.0,285278.1666666666,283652.5416666666,349345.24999999994,413671.2083333334,439071.0833333334,485047.8333333334,523400.7499999999,589699.7083333334,575492.4583333334,586063.6,611839.5697999999
103,Alamo,IN,,,31477.1,32836.833333333336,29894.66666666667,31671.75,34949.583333333336,36112.25,36942.083333333336,35847.166666666664,36476.4,38446.125600000014
104,Alamo,TX,,,,,,,,42591.375,39618.25,36703.0,41251.9,43273.2431
105,Alamogordo,NM,,,,,,68694.5,72759.08333333333,77019.08333333334,78964.79166666667,84699.91666666666,87823.0,91676.5723
106,Alamosa,CO,61204.4,59023.0,58447.25,58436.5,64361.5,71141.08333333331,77490.33333333331,76320.91666666669,82930.08333333331,88008.0,91390.2,94863.0276
107,Alanson,MI,108377.9,105256.33333333331,105917.25,114390.91666666669,113934.75,125009.5,125847.58333333331,127475.5,139211.58333333337,141663.75,145166.1,148795.2525
